TimestampLocal,WP_SF_MVPS1.PM1,WP_SF_MVPS2.PM1,WP_SF_MVPS3.PM1,WP_SF_MVPS4.PM1,AVG in-plane irradiance,Ambient Temperature Celsius,Back-of-Module Temperature (deg C),Back-of-Module Temperature 2 (deg C),Irradiance Global (W/m^2),Irradiance Plane-of-Array (W/m^2),Rainfall (mm),Weather Atmospheric Pressure,Weather Relative Humidity,Wind Direction (Hour Interval),Wind Speed
2020-09-08 16:45:00,661.819885253906,726.5418090820309,630.76318359375,37.716461181640604,828.0,11.7,12.3,14.0,271.0,828.0,111.8,1010.0,85.0,135.0,4.0
2020-09-08 05:00:00,0.0,0.0,0.0,0.0,0.0,10.6,9.5,9.1,0.0,0.0,110.8,1008.0,89.0,118.0,4.0
2020-09-08 17:00:00,200.57389831543,209.29162597656298,210.534210205078,16.2763690948486,293.0,11.4,11.2,11.5,133.0,293.0,111.8,1010.0,85.0,133.0,6.0
2020-09-08 05:15:00,0.0,0.0,0.0,0.0,0.0,10.5,9.6,9.3,0.0,0.0,110.8,1008.0,89.0,111.0,4.0
2020-09-08 17:15:00,54.3702583312988,55.718177795410206,49.877655029296896,6.48062992095947,62.0,11.1,10.6,10.2,64.0,62.0,111.8,1010.0,86.0,138.0,4.0
2020-09-08 05:30:00,0.0,0.0,0.0,0.0,0.0,10.4,9.3,8.8,0.0,0.0,110.8,1008.0,89.0,124.0,4.0
2020-09-08 17:30:00,22.801029205322298,23.622728347778303,22.163249969482397,2.7018187046051003,31.0,11.0,10.2,9.5,30.0,31.0,111.8,1010.0,86.0,146.0,5.0
2020-09-08 05:45:00,0.0,0.0,0.0,0.0,0.0,10.1,8.9,8.2,0.0,0.0,110.8,1008.0,90.0,125.0,4.0
2020-09-08 17:45:00,5.67301082611084,6.58121824264526,6.0548300743103,0.36357995867729204,8.0,10.9,10.0,9.2,4.0,8.0,111.8,1010.0,86.0,143.0,6.0
2020-09-08 06:00:00,0.0,0.0,0.0,0.0,0.0,10.1,9.0,8.3,0.0,0.0,110.8,1008.0,89.0,127.0,4.0
2020-09-08 18:00:00,0.0,0.0,0.0,-0.0683451220393181,0.0,10.7,9.8,9.0,0.0,0.0,111.8,1010.0,87.0,135.0,4.0
2020-09-08 06:15:00,0.0,0.0,0.0,0.0,0.0,10.2,9.3,8.7,0.0,0.0,110.8,1008.0,90.0,126.0,4.0
2020-09-08 18:15:00,0.0,0.0,0.0,0.0,0.0,10.6,9.6,8.8,0.0,0.0,111.8,1010.0,88.0,120.0,6.0
2020-09-08 06:30:00,0.0,0.0,0.0,0.0,0.0,10.2,9.3,8.8,0.0,0.0,110.8,1009.0,91.0,118.0,5.0
2020-09-08 18:30:00,0.0,0.0,0.0,0.0,0.0,10.6,9.5,8.8,0.0,0.0,111.8,1011.0,87.0,132.0,5.0
2020-09-08 06:45:00,0.0,0.0,0.0,0.0,0.0,10.3,9.5,9.1,0.0,0.0,110.8,1009.0,90.0,124.0,4.0
2020-09-08 18:45:00,0.0,0.0,0.0,0.0,0.0,10.4,9.5,8.7,0.0,0.0,111.8,1011.0,88.0,129.0,4.0
2020-09-08 07:00:00,0.0,0.0,0.0,0.0,0.0,10.3,9.4,9.2,0.0,0.0,110.8,1009.0,90.0,109.0,7.0
2020-09-08 19:00:00,0.0,0.0,0.0,0.0,0.0,10.3,9.3,8.4,0.0,0.0,111.8,1011.0,88.0,134.0,3.0
2020-09-08 07:15:00,0.734429061412811,0.0,0.0,0.0,2.0,9.7,8.7,8.3,3.0,2.0,111.0,1009.0,93.0,114.0,3.0
2020-09-08 19:15:00,0.0,0.0,0.0,0.0,0.0,10.1,9.1,8.1,0.0,0.0,111.8,1011.0,89.0,134.0,4.0
2020-09-08 07:30:00,23.544410705566396,24.758483886718803,23.5895671844482,2.52952861785889,27.0,9.6,8.8,8.3,25.0,27.0,111.8,1009.0,93.0,121.0,4.0
2020-09-08 19:30:00,0.0,0.0,0.0,0.0,0.0,10.1,9.1,8.1,0.0,0.0,111.8,1011.0,89.0,135.0,4.0
2020-09-08 07:45:00,137.499557495117,117.861183166504,110.682823181152,10.4015655517578,128.0,9.8,9.1,8.8,79.0,128.0,111.8,1009.0,93.0,134.0,3.0
2020-09-08 19:45:00,0.0,0.0,0.0,0.0,0.0,10.0,8.9,7.9,0.0,0.0,111.8,1011.0,89.0,137.0,3.0
2020-09-08 08:00:00,562.02587890625,584.23046875,531.6102294921881,40.1047706604004,500.0,10.0,9.7,10.0,204.0,500.0,111.8,1009.0,91.0,104.0,5.0
2020-09-08 20:00:00,0.0,0.0,0.0,0.0,0.0,10.3,9.3,8.7,0.0,0.0,111.8,1011.0,89.0,128.0,4.0
2020-09-08 08:15:00,896.964599609375,930.1654663085941,898.69091796875,60.4805297851563,814.0,10.3,11.2,12.9,307.0,814.0,111.8,1009.0,90.0,118.0,7.0
2020-09-08 20:15:00,0.0,0.0,0.0,0.0,0.0,10.5,9.6,9.0,0.0,0.0,111.8,1011.0,89.0,123.0,4.0
2020-09-08 08:30:00,1304.31237792969,1337.70263671875,1298.10461425781,85.8540573120117,1227.0,10.7,13.0,15.3,471.0,1227.0,111.8,1009.0,90.0,117.0,7.0
2020-09-08 20:30:00,0.0,0.0,0.0,0.0,0.0,10.5,9.3,8.6,0.0,0.0,111.8,1011.0,89.0,124.0,3.0
2020-09-08 08:45:00,327.9892578125,345.68289184570295,344.661468505859,30.815841674804698,410.0,11.0,13.1,14.0,314.0,410.0,111.8,1010.0,89.0,126.0,5.0
2020-09-08 20:45:00,0.0,0.0,0.0,0.0,0.0,10.3,9.2,8.5,0.0,0.0,111.8,1011.0,89.0,121.0,5.0
2020-09-08 09:00:00,224.55223083496102,209.88391113281298,206.814834594727,22.944677352905302,220.0,,,,,,,,,,
2020-09-08 21:00:00,0.0,0.0,0.0,0.0,0.0,10.3,9.2,8.5,0.0,0.0,111.8,1011.0,89.0,122.0,2.0
2020-09-08 09:15:00,310.560180664063,323.400390625,316.072296142578,32.2174797058105,318.0,11.2,11.7,11.6,333.0,318.0,111.8,1010.0,88.0,98.0,7.0
2020-09-08 21:15:00,0.0,0.0,0.0,0.0,0.0,,9.3,8.6,0.0,0.0,,,,,
2020-09-08 09:30:00,227.626541137695,228.418014526367,231.485977172852,25.3960304260254,228.0,11.3,12.0,12.2,270.0,229.0,111.8,1010.0,88.0,132.0,4.0
2020-09-08 21:30:00,0.0,0.0,0.0,0.0,0.0,10.1,9.0,8.3,0.0,0.0,111.8,1011.0,90.0,104.0,4.0
2020-09-08 09:45:00,277.264617919922,295.366302490234,294.898040771484,31.5711555480957,290.0,11.2,11.5,11.3,369.0,290.0,111.8,1010.0,88.0,99.0,7.0
2020-09-08 21:45:00,0.0,0.0,0.0,0.0,0.0,10.0,8.6,7.9,0.0,0.0,111.8,1011.0,90.0,126.0,4.0
2020-01-08 10:00:00,1397.43566894531,1452.95642089844,1418.47009277344,132.964691162109,1291.0,12.4,20.8,24.4,883.0,1291.0,76.4,1012.0,71.0,342.0,3.0
2020-01-08 22:00:00,0.0,0.0,0.0,0.0,0.0,11.7,10.0,9.7,0.0,0.0,78.8,1010.0,73.0,333.0,8.0
2020-01-08 10:15:00,1387.4362792968802,1406.7331542968802,1400.97607421875,138.514831542969,1308.0,13.4,20.9,24.0,894.0,1180.0,76.4,1012.0,67.0,338.0,4.0
2020-01-08 22:15:00,0.0,0.0,0.0,0.0,0.0,11.9,10.2,9.9,0.0,0.0,78.8,1010.0,71.0,340.0,8.0
2020-01-08 10:30:00,1412.13269042969,1456.5654296875,1416.76513671875,146.547058105469,1291.0,13.5,17.9,20.3,1040.0,1291.0,76.4,1012.0,67.0,332.0,3.0
2020-01-08 22:30:00,0.0,0.0,0.0,0.0,0.0,11.9,10.1,9.8,0.0,0.0,78.8,1010.0,71.0,336.0,8.0
2020-01-08 10:45:00,1361.12182617188,1412.23083496094,1365.29541015625,147.550720214844,1254.0,14.3,20.8,24.0,1118.0,1254.0,76.4,1012.0,65.0,329.0,4.0
2020-01-08 22:45:00,0.0,0.0,0.0,0.0,0.0,11.7,9.7,9.5,0.0,0.0,78.8,1010.0,71.0,336.0,7.0
2020-01-08 11:00:00,1359.10754394531,1410.7119140625,1357.61743164063,149.58361816406298,1268.0,15.3,21.0,24.2,1151.0,1268.0,76.4,1012.0,63.0,327.0,3.0
2020-01-08 23:00:00,0.0,0.0,0.0,0.0,0.0,11.6,9.6,9.3,0.0,0.0,78.8,1010.0,71.0,339.0,6.0
2020-01-08 11:15:00,1325.19958496094,1381.04919433594,1326.14624023438,150.851226806641,1230.0,15.8,20.7,23.6,1172.0,1230.0,76.4,1012.0,60.0,312.0,3.0
2020-01-08 23:15:00,0.0,0.0,0.0,0.0,0.0,11.5,9.5,9.2,0.0,0.0,78.8,1010.0,71.0,334.0,6.0
2020-01-08 11:30:00,1321.48583984375,1377.7365722656302,1316.89343261719,153.1708984375,1217.0,16.5,19.5,22.0,1186.0,1217.0,76.4,1011.0,56.0,333.0,5.0
2020-01-08 23:30:00,0.0,0.0,0.0,0.0,0.0,11.2,9.1,8.8,0.0,0.0,78.8,1010.0,72.0,333.0,6.0
2020-01-08 11:45:00,1418.1208496093802,1470.2507324218802,1409.1867675781302,166.58761596679702,1302.0,16.6,19.4,21.8,1291.0,1302.0,76.4,1011.0,55.0,320.0,8.0
2020-01-08 23:45:00,0.0,0.0,0.0,0.0,0.0,11.2,9.0,8.7,0.0,0.0,78.8,1010.0,71.0,338.0,5.0
2020-01-08 12:00:00,1364.49548339844,1419.96008300781,1353.34887695313,160.259719848633,1264.0,17.0,19.9,22.3,1256.0,1264.0,76.4,1011.0,55.0,330.0,6.0
2020-01-08 00:15:00,0.0,0.0,0.0,0.0,0.0,8.4,5.9,5.5,0.0,0.0,76.4,1013.0,81.0,307.0,1.0
2020-01-08 12:15:00,1353.63073730469,1411.18505859375,1343.7900390625,156.859786987305,1253.0,17.2,20.4,22.8,1238.0,1253.0,76.4,1011.0,54.0,327.0,6.0
2020-01-08 00:30:00,0.0,0.0,0.0,0.0,0.0,8.3,5.8,5.4,0.0,0.0,76.4,1013.0,82.0,331.0,3.0
2020-01-08 12:30:00,1380.36145019531,1437.9423828125,1371.365234375,157.953201293945,1286.0,17.3,20.0,22.3,1241.0,1286.0,76.4,1011.0,54.0,323.0,7.0
2020-01-08 00:45:00,0.0,0.0,0.0,0.0,0.0,8.2,5.8,5.3,0.0,0.0,76.4,1013.0,82.0,337.0,2.0
2020-01-08 12:45:00,1406.60192871094,1469.0690917968802,1404.6022949218802,157.784515380859,1323.0,17.6,21.1,23.3,1235.0,1323.0,76.4,1010.0,52.0,310.0,9.0
2020-01-08 01:00:00,0.0,0.0,0.0,0.0,0.0,8.0,5.3,4.8,0.0,0.0,76.4,1013.0,82.0,315.0,3.0
2020-01-08 13:00:00,1441.6008300781302,1505.42333984375,1437.5036621093802,157.84890747070298,1361.0,18.1,23.2,25.5,1219.0,1363.0,76.4,1010.0,50.0,294.0,8.0
2020-01-08 01:15:00,0.0,0.0,0.0,0.0,0.0,8.0,5.5,5.1,0.0,0.0,76.4,1013.0,82.0,329.0,3.0
2020-01-08 13:15:00,1480.65686035156,1542.75500488281,1479.35534667969,156.530670166016,1407.0,18.2,24.3,26.5,1194.0,1408.0,76.4,1010.0,49.0,306.0,8.0
2020-01-08 01:30:00,0.0,0.0,0.0,0.0,0.0,8.5,5.5,5.0,0.0,0.0,76.4,1013.0,80.0,332.0,2.0
